strains	param_a	param_b	param_c
JU1400	1.3499	-0.30898	-0.069287
JU1409	1.1145	-0.44339	0.013118
JU1440	1.1186	-0.2004	-0.050171
JU1491	1.2476	-0.26519	-0.11355
JU1530	1.291	-0.29387	-0.10413
JU1543	1.3981	-0.088953	-0.33075
JU1568	1.3358	-0.062985	-0.39024
JU1580	1.2221	-0.37626	-0.044792
JU1581	1.1369	-0.5074	0.014047
JU1586	1.2925	-0.18957	-0.29187
JU1652	1.5145	-0.076091	-0.11993
JU1793	1.2768	-0.38199	-0.053549
JU1808	2.6927	-0.0037914	-1.7195
JU1896	1.1808	-0.29121	-0.021259
JU2001	1.253	-0.22721	-0.07443
JU2007	1.2171	-0.43635	-0.010586
JU2131	1.5536	-0.11158	-0.66446
JU2141	1.323	-0.44826	-0.05265
JU2234	1.2356	-0.51595	-0.0063215
JU2464	1.3618	-0.14889	-0.26999
JU2466	2.0215	-0.087437	-0.99071
JU2513	1.2807	-0.25571	-0.12618
JU2519	1.4403	-0.18014	-0.28141
JU2522	1.3674	-0.30539	-0.089753
JU2526	1.2079	-0.32806	-0.085541
JU2534	1.2876	-0.27495	-0.034731
JU2565	1.2394	-0.13588	-0.047527
JU2566	1.2272	-0.56347	-0.015387
JU2578	-1.9731	0.028768	2.8666
JU258	1.2073	-0.44291	-0.024445
JU2587	1.0265	-0.06817	-0.026235
JU2593	1.4482	-0.19925	-0.25451
JU2600	1.271	-0.45384	-0.054964
JU2800	1.0443	-0.13361	-0.008355
JU2862	1.2279	-0.53824	0.0215
JU2866	1.1734	-0.35043	-0.035092
JU2878	1.2404	-0.36422	-0.042431
JU2879	1.2064	-0.56097	0.019613
JU2906	1.0904	-0.4484	0.072176
JU310	1.3777	-0.16511	-0.32057
JU311	1.1456	-0.39206	-0.030864
JU3125	1.2277	-0.42285	-0.023861
JU3127	1.1847	-0.33796	-0.052709
JU3134	1.2958	-0.19134	-0.25874
JU3135	1.2513	-0.091765	-0.14161
JU3137	1.2361	-0.23462	-0.070428
JU3140	1.3907	-0.19293	-0.31945
JU323	1.2991	-0.25428	-0.2006
JU346	1.3077	-0.22063	-0.15452
JU360	1.2399	-0.67925	0.00039969
JU367	1.4527	-0.15053	-0.40812
JU393	-0.21786	0.06298	1.1769
JU394	1.3008	-0.14529	-0.20032
JU397	1.1926	-0.59622	-0.0057702
JU406	1.2783	-0.37392	-0.073259
JU440	1.2687	-0.65141	-0.01509
JU561	1.759	-0.047582	-0.76873
JU642	1.1988	-0.44785	-0.019221
JU751	-0.20108	0.093482	1.1182
JU774	1.2436	-0.48517	-0.027987
JU775	1.3406	-0.22927	-0.18819
JU778	1.2758	-0.36334	-0.018793
JU782	1.5213	-0.18936	-0.34006
JU792	1.2308	-0.36707	-0.054539
JU830	1.1885	-0.15017	-0.16618
JU847	1.629	-0.16779	-0.52085
KR314	-0.50967	0.082184	1.4668
LKC34	1.2449	-0.18214	-0.059099
LSJ1	1.2231	-0.49012	0.014171
MY1	1.3779	-0.16397	-0.29067
MY10	1.404	-0.28293	-0.097151
MY16	1.2727	-0.32624	-0.07457
MY18	1.3904	-0.13551	-0.036186
MY2212	1.2503	-0.36005	-0.023824
MY23	1.1295	-0.45383	0.0031254
MY2453	1.2132	-0.20795	-0.079893
MY2530	1.4683	-0.16338	-0.34034
MY2535	1.1909	-0.37054	0.010804
MY2573	1.2328	-0.32518	-0.066281
MY2693	1.1569	-0.32064	-0.0011604
MY2741	1.0973	-0.23052	0.020828
MY679	1.2175	-0.28421	0.00092611
MY920	1.316	-0.17328	-0.09105
N2	-0.66082	0.044823	1.7379
NIC1	1.674	-0.12126	-0.62803
NIC1107	1.367	-0.21363	-0.13147
NIC166	1.2258	-0.2361	-0.06259
NIC195	1.2808	-0.48985	-0.035919
NIC199	1.1962	-0.40981	-0.0072212
NIC2	1.2246	-0.33939	-0.034113
NIC207	1.2393	-0.36072	-0.046402
NIC231	1.3057	-0.071846	-0.18123
NIC236	1.1936	-0.27226	-0.1174
NIC242	1.3039	-0.28417	-0.10676
NIC251	1.2445	-0.17725	-0.20074
NIC252	1.161	-0.40891	0.0033355
NIC255	1.1488	-0.26564	-0.038005
NIC256	1.3453	-0.26981	-0.11683
NIC258	1.4395	-0.18557	-0.21785
NIC259	1.3444	-0.35506	-0.095146
NIC260	1.2113	-0.31011	-0.082204
NIC261	1.2034	-0.39574	-0.065298
NIC262	1.3334	-0.46512	-0.060572
NIC265	1.4432	-0.061469	-0.29461
NIC266	1.3334	-0.40749	-0.077695
NIC267	1.2509	-0.16287	-0.13555
NIC268	1.1814	-0.30016	-0.048216
NIC269	1.2867	-0.49602	-0.035104
NIC271	1.3521	-0.25233	-0.14988
NIC272	1.1404	-0.017832	-0.079697
NIC274	1.3763	-0.26165	-0.23738
NIC275	1.0789	-0.34547	-0.0098952
NIC276	1.1907	-0.23286	-0.050112
NIC277	1.2824	-0.20405	-0.21844
NIC3	1.4231	-0.1868	-0.33775
NIC513	1.1922	-0.25862	-0.05248
NIC514	1.1867	-0.51111	-0.00016132
NIC522	1.3376	-0.22052	-0.16449
NIC523	1.3087	-0.29628	-0.15657
PB303	1.1739	-0.28918	-0.0044994
PS2025	1.2655	-0.58113	-0.021753
PX179	1.2675	-0.21638	0.016836
QG2075	1.4058	-0.083603	-0.38846
QG536	1.2931	-0.34007	-0.00071016
QG556	1.1584	-0.54169	0.045258
QG557	1.2679	-0.52529	-0.01726
QW947	1.2518	-0.27041	-0.03997
QX1212	1.4948	-0.10688	-0.50771
QX1233	0.99988	-0.2981	0.071313
QX1791	1.1226	-0.56457	0.01065
QX1792	1.3973	-0.20114	-0.25972
QX1793	1.0616	-0.32524	0.12368
QX1794	1.2412	-0.34415	-0.057684
RC301	1.3658	-0.181	-0.27691
WN2001	1.0987	-0.29713	0.047191
WN2002	1.2421	-0.19362	-0.036371
WN2033	1.2128	-0.19583	-0.11356
XZ1513	1.2901	-0.55378	0.0043723
XZ1514	1.172	-0.47489	-0.013683
XZ1516	1.3529	-0.47778	-0.03753
