strains	param_a	param_b	param_c	param_d	param_e
JU1172	0.62249	-0.14886	0.23327	-0.021762	-0.0011955
JU1200	0.53771	-0.2	0.16208	-0.020795	-0.00086249
JU1212	0.52576	-0.13203	0.23116	-0.015496	-0.001002
JU1213	0.47949	-0.1771	0.2601	-0.017468	-0.0010326
JU1242	0.51538	-0.12535	0.2442	-0.015962	-0.00083086
JU1246	0.4646	-0.14501	0.19222	-0.029137	-0.0014829
JU1395	0.46838	-0.13394	0.23954	-0.013728	-0.00083229
JU1400	0.58277	-0.11959	0.30846	-0.01445	-0.0007362
JU1409	0.72558	-0.15568	0.2024	-0.016976	-0.00057643
JU1440	0.41498	-0.14688	0.25711	-0.016185	-0.00063734
JU1491	0.52893	-0.16802	0.28886	-0.01936	-0.0014577
JU1530	0.56966	-0.12031	0.30508	-0.011696	-0.00082243
JU1543	0.33909	-0.13027	0.27728	-0.012887	-0.00025296
JU1568	0.37161	-0.18579	0.25799	-0.016597	-0.0006498
JU1580	0.61968	-0.13297	0.23725	-0.013506	-0.0011255
JU1581	0.65077	-0.15297	0.18845	-0.025634	-0.00014004
JU1586	0.48258	-0.16604	0.24649	-0.023537	-0.00094151
JU1652	0.34614	-0.1425	0.22815	-0.05597	-0.0016673
JU1793	0.60838	-0.12388	0.25611	-0.018446	-0.0011109
JU1808	0.40669	-0.18528	0.23477	-0.018192	-0.0011234
JU1896	0.55456	-0.13032	0.23119	-0.014882	-0.00067351
JU2001	0.45449	-0.15585	0.29847	-0.013793	-0.00069422
JU2007	0.46994	-0.1645	0.24353	-0.01483	-0.00066002
JU2131	0.47178	-0.1514	0.21499	-0.021091	-0.0012486
JU2141	0.63418	-0.14581	0.27601	-0.022319	-0.0010414
JU2234	0.68409	-0.12165	0.19374	-0.020652	-0.00075357
JU2464	0.36199	-0.18736	0.28747	-0.016553	-0.00057956
JU2466	0.34854	-0.12025	0.28595	-0.014431	-0.00059595
JU2513	0.48686	-0.1495	0.26367	-0.0249	-0.0011915
JU2519	0.39317	-0.15488	0.29152	-0.019798	-0.00096884
JU2522	0.55	-0.13255	0.25535	-0.019194	-0.0009975
JU2526	0.65354	-0.13398	0.20696	-0.013628	-0.0010608
JU2534	0.52791	-0.13699	0.2401	-0.016813	-0.0010029
JU2565	0.50412	-0.13759	0.26109	-0.01665	-0.0009793
JU2566	0.68187	-0.12468	0.21747	-0.019263	-0.00048053
JU2578	0.30842	-0.16454	0.24835	-0.01986	-0.0011952
JU258	0.56384	-0.17528	0.26265	-0.01986	-0.00059529
JU2587	0.31521	-0.19135	0.2235	-0.018329	-0.0007299
JU2593	0.35977	-0.13834	0.29645	-0.023452	-0.0014576
JU2600	0.64332	-0.16379	0.23459	-0.020769	-0.0013428
JU2800	0.49727	-0.15264	0.18799	-0.025866	-0.0013463
JU2862	0.57272	-0.13222	0.21117	-0.01663	-0.00055375
JU2866	0.54793	-0.1678	0.20956	-0.028465	-0.00097596
JU2878	0.57597	-0.16455	0.25723	-0.02799	-0.0014823
JU2879	0.72012	-0.11289	0.20306	-0.019106	-0.00052259
JU2906	0.65097	-0.12254	0.17195	-0.019842	-0.0004992
JU310	0.44851	-0.14751	0.22895	-0.024437	-0.001552
JU311	0.62186	-0.18646	0.24222	-0.026734	-0.0010532
JU3125	0.65589	-0.16458	0.20677	-0.02112	-0.001093
JU3127	0.53591	-0.11028	0.21139	-0.01158	-0.00077154
JU3134	0.41768	-0.12803	0.30212	-0.023431	-0.0011122
JU3135	0.41901	-0.14855	0.25065	-0.015888	-0.0010718
JU3137	0.47305	-0.13466	0.28455	-0.014129	-0.00060355
JU3140	0.48553	-0.14297	0.26476	-0.015163	-0.00066144
JU323	0.55599	-0.14546	0.25923	-0.017883	-0.0017894
JU346	0.42042	-0.14699	0.30291	-0.014029	-0.00094877
JU360	0.52145	-0.13586	0.15748	-0.026117	-0.0010819
JU367	0.4011	-0.17282	0.26711	-0.023254	-0.0013528
JU393	0.18407	-0.16967	0.28586	-0.018223	-0.00086042
JU394	0.40116	-0.17638	0.329	-0.017695	-0.0012551
JU397	0.73104	-0.2	0.18636	-0.018518	-0.0011761
JU406	0.56015	-0.2	0.28295	-0.028196	-0.001891
JU440	0.83811	-0.15128	0.1509	-0.028859	-0.0012665
JU561	0.39425	-0.19998	0.24461	-0.02746	-0.0014077
JU642	0.65624	-0.18114	0.1946	-0.028846	-0.00091909
JU751	0.31553	-0.15512	0.2074	-0.034078	-0.00096775
JU774	0.65683	-0.2	0.23808	-0.027109	-0.0010005
JU775	0.46445	-0.15463	0.26505	-0.01612	-0.0010779
JU778	0.5496	-0.17585	0.27783	-0.019396	-0.00074049
JU782	0.40409	-0.13644	0.30144	-0.014537	-0.0013507
JU792	0.51216	-0.15559	0.25437	-0.019988	-0.001234
JU830	0.38854	-0.18566	0.26059	-0.015951	-0.0007214
JU847	0.47454	-0.15851	0.29649	-0.016463	-0.00033862
KR314	0.24717	-0.16001	0.29114	-0.014672	-0.0012403
LKC34	0.41712	-0.15706	0.29128	-0.020848	-0.00094092
LSJ1	0.69145	-0.12842	0.2089	-0.019993	-0.0005561
MY1	0.38047	-0.15472	0.30714	-0.01668	-0.0011937
MY10	0.43301	-0.12777	0.26086	-0.024604	-0.0014015
MY16	0.47075	-0.13145	0.27677	-0.015478	-0.00061894
MY18	0.44206	-0.13799	0.21339	-0.014305	-0.0006708
MY2212	0.66661	-0.12694	0.16887	-0.022801	-0.00095772
MY23	0.71112	-0.15156	0.12922	-0.023407	-0.0010275
MY2453	0.4241	-0.16024	0.29717	-0.020671	-0.0013154
MY2530	0.4693	-0.12794	0.27606	-0.017403	-0.00062224
MY2535	0.60431	-0.14769	0.18507	-0.016305	-0.0012427
MY2573	0.48439	-0.11505	0.26559	-0.022222	-0.0012631
MY2693	0.51933	-0.14077	0.25133	-0.027437	-0.00074887
MY2741	0.4376	-0.14759	0.22538	-0.020187	-0.00071791
MY679	0.55199	-0.13032	0.19373	-0.017962	-0.00071255
MY920	0.48489	-0.15152	0.33015	-0.025281	-0.0013405
N2	0.20446	-0.14303	0.36039	-0.011551	-0.0013497
NIC1	0.40716	-0.10716	0.26691	-0.01498	-0.00078549
NIC1107	0.41257	-0.13666	0.21328	-0.027266	-0.00072232
NIC166	0.55482	-0.15023	0.20345	-0.021946	-0.0017652
NIC195	0.61144	-0.16488	0.371	-0.02974	-0.0014227
NIC199	0.63292	-0.19174	0.21378	-0.027214	-0.0010042
NIC2	0.50144	-0.16317	0.26134	-0.021363	-0.0010201
NIC207	0.56101	-0.15889	0.26832	-0.022671	-0.00090638
NIC231	0.41094	-0.1186	0.33427	-0.015573	-0.00063175
NIC236	0.54738	-0.16243	0.22847	-0.022667	-0.0012616
NIC242	0.48234	-0.19829	0.33622	-0.023184	-0.0013594
NIC251	0.42093	-0.18621	0.24309	-0.019078	-0.00096576
NIC252	0.65913	-0.16378	0.19584	-0.014605	-0.00086822
NIC255	0.51101	-0.14321	0.26704	-0.020348	-0.00074077
NIC256	0.428	-0.12843	0.35262	-0.017585	-0.00080671
NIC258	0.45847	-0.090395	0.30801	-0.012024	-0.0011532
NIC259	0.54186	-0.11167	0.25695	-0.016308	-0.0019985
NIC260	0.53317	-0.16519	0.28543	-0.018205	-0.0011025
NIC261	0.6195	-0.15057	0.23551	-0.020365	-0.0010486
NIC262	0.4897	-0.11464	0.32147	-0.023106	-0.0027425
NIC265	0.32106	-0.13608	0.2974	-0.013815	-0.00073723
NIC266	0.61697	-0.13962	0.29172	-0.015192	-0.00081859
NIC267	0.37801	-0.15759	0.30299	-0.015828	-0.00067513
NIC268	0.60331	-0.13945	0.21759	-0.014526	-0.00036644
NIC269	0.62622	-0.11957	0.31092	-0.022927	-0.00053341
NIC271	0.45054	-0.16336	0.32645	-0.02005	-0.0012231
NIC272	0.31202	-0.17505	0.24209	-0.018623	-0.0012128
NIC274	0.58183	-0.14453	0.26975	-0.014646	-0.0015834
NIC275	0.56515	-0.15851	0.21054	-0.013494	-0.00087719
NIC276	0.47135	-0.16443	0.21371	-0.020848	-0.00072972
NIC277	0.54502	-0.16683	0.20725	-0.026382	-0.001328
NIC3	0.45874	-0.19501	0.3124	-0.022114	-0.0013822
NIC513	0.53543	-0.13951	0.23225	-0.018574	-0.0012029
NIC514	0.68048	-0.1531	0.22607	-0.018448	-0.00045949
NIC522	0.46617	-0.13566	0.31065	-0.017251	-0.0010083
NIC523	0.43478	-0.18026	0.36747	-0.018575	-0.001061
PB303	0.40542	-0.18482	0.22672	-0.02381	-0.00093466
PS2025	0.66583	-0.15734	0.22716	-0.040646	-0.0018865
PX179	0.47511	-0.14757	0.2277	-0.025437	-0.001475
QG2075	0.40766	-0.15017	0.19163	-0.018481	-0.00078736
QG536	0.5277	-0.10978	0.32634	-0.018069	-0.00044528
QG556	0.7442	-0.15169	0.18016	-0.022641	-0.00050369
QG557	0.70372	-0.16649	0.19171	-0.021221	-0.0010565
QW947	0.39362	-0.1294	0.36902	-0.019252	-0.00059247
QX1212	0.39021	-0.12446	0.24413	-0.015483	-0.00094906
QX1233	0.47703	-0.19264	0.25264	-0.013695	-0.00033078
QX1791	0.68408	-0.2	0.19867	-0.025694	-0.00062045
QX1792	0.46194	-0.10732	0.23691	-0.015259	-0.00073642
QX1793	0.60062	-0.11737	0.1642	-0.013712	-0.00096761
QX1794	0.5844	-0.13578	0.22028	-0.019643	-0.00088647
RC301	0.42481	-0.15904	0.27359	-0.02013	-0.0012915
WN2001	0.48657	-0.13577	0.22499	-0.016945	-0.00033592
WN2002	0.41887	-0.15043	0.20795	-0.020055	-0.0013894
WN2033	0.39333	-0.16467	0.27639	-0.019456	-0.00070694
XZ1513	0.71468	-0.11817	0.16177	-0.03139	-0.0013407
XZ1514	0.76012	-0.15151	0.12191	-0.021957	-0.00066882
XZ1516	0.73283	-0.099253	0.22459	-0.01496	-0.000505
