strain	cluster	mw	sw	clusterNorm	mwNorm
JU2513	0.80147	0.83977	0.9683	0.8286	0.86726
JU2519	0.8251	0.8754	0.96575	0.85428	0.9082
JU2522	0.82971	0.91628	0.96603	0.86169	0.94927
JU2526	0.87578	0.91018	0.96767	0.90504	0.94059
JU2534	0.84917	0.88634	0.95906	0.88695	0.92107
JU2565	0.75309	0.88508	0.96746	0.77971	0.91452
JU2566	0.80159	0.89376	0.962	0.83291	0.92907
JU2578	0.69054	0.7735	0.96356	0.71665	0.80276
JU258	0.80202	0.86714	0.95945	0.83353	0.9029
JU2587	0.76891	0.9373	0.96308	0.79752	0.97323
JU2593	0.77232	0.85727	0.97009	0.79606	0.88361
JU2600	0.85383	0.91018	0.96774	0.88339	0.93976
JU2800	0.71965	0.86373	0.95575	0.75258	0.90113
JU2862	0.78191	0.87896	0.95725	0.81694	0.91821
JU2866	0.74357	0.85949	0.96149	0.77265	0.89391
JU2878	0.84444	0.88719	0.96298	0.87492	0.92482
JU2879	0.84156	0.88433	0.96152	0.87662	0.91944
JU2906	0.73049	0.83025	0.96369	0.76047	0.86448
JU310	0.7977	0.89565	0.96746	0.8249	0.92578
JU311	0.82539	0.86968	0.9598	0.85806	0.90309
JU3125	0.80549	0.88045	0.96423	0.83366	0.91396
JU3127	0.82608	0.8771	0.96828	0.85299	0.9129
JU3134	0.86322	0.88462	0.96531	0.89424	0.91929
JU3135	0.78937	0.85941	0.97073	0.81317	0.88453
JU3137	0.75736	0.85479	0.96938	0.78145	0.88179
JU3140	0.76161	0.84173	0.9653	0.78899	0.87007
JU323	0.76731	0.90025	0.97216	0.79025	0.92716
JU346	0.8444	0.88914	0.96818	0.87235	0.91837
JU360	0.80351	0.88066	0.96749	0.82997	0.91103
JU367	0.74539	0.89746	0.96912	0.76824	0.92606
JU393	0.80914	0.87421	0.96966	0.83442	0.90154
JU394	0.75954	0.8968	0.96972	0.7839	0.92584
JU397	0.79122	0.86917	0.96372	0.82135	0.90397
JU406	0.8241	0.92698	0.97059	0.84908	0.96003
JU440	0.92303	0.90777	0.96671	0.95742	0.93959
JU561	0.77248	0.86267	0.96548	0.80339	0.89285
JU642	0.77373	0.86962	0.96773	0.79953	0.89919
JU751	0.70748	0.76875	0.96032	0.73698	0.80109
JU774	0.83084	0.89311	0.96309	0.8615	0.92761
JU775	0.79034	0.89901	0.96901	0.81594	0.92629
JU778	0.74309	0.84183	0.95962	0.77451	0.87726
JU782	0.84262	0.934	0.96882	0.86985	0.96408
JU792	0.71691	0.85151	0.96605	0.74203	0.88146
JU830	0.803	0.88734	0.96281	0.83355	0.92652
JU847	0.7266	0.87033	0.96845	0.74849	0.89804
KR314	0.85911	0.8951	0.971	0.8866	0.92077
LKC34	0.7894	0.89776	0.96948	0.81464	0.92358
LSJ1	0.77625	0.86085	0.96956	0.80068	0.88791
MY1	0.8764	0.91964	0.96581	0.90832	0.95313
MY10	0.70012	0.87125	0.96815	0.72341	0.90262
MY16	0.80008	0.89581	0.97374	0.82128	0.92174
MY18	0.78536	0.87087	0.9644	0.81279	0.90303
MY2212	0.76203	0.87931	0.97133	0.78359	0.90555
MY23	0.80004	0.87706	0.97191	0.82267	0.90194
MY2453	0.78657	0.87504	0.9645	0.81595	0.90851
MY2530	0.81389	0.89239	0.96825	0.84058	0.92016
MY2535	0.78314	0.87661	0.96239	0.81374	0.91087
MY2573	0.80585	0.90794	0.96972	0.82988	0.93628
MY2693	0.7273	0.85618	0.96615	0.75201	0.88463
MY2741	0.77476	0.82574	0.96825	0.80065	0.85026
MY679	0.77374	0.87517	0.96768	0.79888	0.9044
MY920	0.80198	0.88606	0.96356	0.83262	0.91416
N2	0.86314	0.92003	0.96487	0.89551	0.95603
NIC1	0.78062	0.87801	0.96422	0.80561	0.91416
NIC1107	0.76368	0.82949	0.96828	0.78867	0.85664
NIC166	0.67856	0.84556	0.96001	0.70221	0.88111
NIC195	0.90376	0.91863	0.9656	0.93597	0.95023
NIC199	0.81652	0.89637	0.96214	0.84821	0.93115
NIC2	0.77561	0.85894	0.96892	0.80102	0.88555
NIC207	0.76363	0.9047	0.96889	0.78815	0.93375
NIC231	0.809	0.9065	0.9656	0.84176	0.94029
NIC236	0.78123	0.8653	0.96781	0.80721	0.8919
NIC242	0.84369	0.91106	0.96755	0.87161	0.94162
NIC251	0.7888	0.88602	0.96	0.82122	0.92245
NIC252	0.83333	0.87916	0.95006	0.87713	0.9228
NIC255	0.76826	0.86814	0.96502	0.79664	0.90022
NIC256	0.86469	0.92065	0.96631	0.89237	0.95399
NIC258	0.87264	0.91801	0.9716	0.89838	0.94485
NIC259	0.89025	0.89831	0.96358	0.92034	0.93227
NIC260	0.80272	0.88074	0.97228	0.82499	0.90517
NIC261	0.80167	0.88984	0.96695	0.83012	0.91907
NIC262	0.44719	0.91216	0.96591	0.46297	0.94435
NIC265	0.80872	0.89208	0.95721	0.83678	0.93249
NIC266	0.86109	0.92483	0.96926	0.88831	0.95416
NIC267	0.78214	0.85961	0.96105	0.81717	0.89348
NIC268	0.78976	0.87773	0.96111	0.82174	0.91327
NIC269	0.87202	0.89299	0.96349	0.90499	0.92679
NIC271	0.82189	0.8924	0.96962	0.84685	0.9195
NIC272	0.66663	0.91958	0.96737	0.68911	0.95059
NIC274	0.81819	0.88991	0.96266	0.84992	0.92442
NIC275	0.75748	0.85584	0.96007	0.79082	0.89144
NIC276	0.82979	0.88358	0.96821	0.85775	0.91196
NIC277	0.824	0.88737	0.96759	0.85346	0.91881
NIC3	0.74187	0.88555	0.96433	0.76674	0.91523
NIC513	0.7803	0.8551	0.95759	0.81487	0.89448
NIC514	0.77635	0.85967	0.96246	0.80499	0.8932
NIC522	0.81381	0.89713	0.97155	0.83865	0.92372
NIC523	0.8526	0.89455	0.96222	0.88607	0.92967
PB303	0.74769	0.85557	0.96272	0.77461	0.88793
PS2025	0.9068	0.90609	0.96282	0.94069	0.94118
PX179	0.85566	0.84513	0.96788	0.88529	0.8724
QG2075	0.8463	0.87296	0.96268	0.87685	0.91016
QG536	0.76203	0.8688	0.96482	0.78981	0.90049
QG556	0.82739	0.86852	0.95858	0.86957	0.91279
QG557	0.89163	0.89601	0.96136	0.92839	0.93094
QW947	0.81433	0.90647	0.96671	0.84195	0.93802
QX1212	0.84539	0.88926	0.96927	0.87217	0.91746
QX1233	0.8204	0.86728	0.96886	0.84923	0.91279
QX1791	0.76736	0.87904	0.96008	0.80189	0.91559
QX1792	0.86477	0.89054	0.96627	0.89383	0.92046
QX1793	0.81281	0.9081	0.96451	0.84272	0.94254
QX1794	0.82794	0.87662	0.96298	0.85751	0.91136
RC301	0.79411	0.85145	0.96747	0.82082	0.88008
WN2001	0.81387	0.8924	0.97088	0.83745	0.91917
WN2002	0.73522	0.87027	0.96832	0.75927	0.89912
WN2033	0.76147	0.87693	0.97173	0.7851	0.90244
XZ1513	0.76154	0.86719	0.95736	0.79676	0.90545
XZ1514	0.741	0.81005	0.91829	0.80693	0.87557
XZ1516	0.84029	0.89814	0.95356	0.87914	0.93966
