strains	param_a	param_b
JU1808	100158869.4828	-4.436
JU1896	95030758.1679	-5.5624
JU2001	86086562.266	-6.2175
JU2007	82050667.1267	-4.9162
JU2131	88198327.3312	-5.391
JU2141	101400566.4412	-7.2888
JU2234	90624587.7562	-6.1402
JU2464	144684240.6479	-4.9368
JU2466	70087040.6911	-4.7802
JU2513	65601080.8871	-5.6556
JU2519	86271194.5158	-6.2521
JU2522	95965700.0602	-6.5999
JU2526	62988820.6249	-5.6753
JU2534	84901588.087	-5.4008
JU2565	130429707.4182	-7.0976
JU2566	101323855.4771	-7.2432
JU2578	94456818.8163	-3.9517
JU258	68873990.4205	-6.3647
JU2587	87458004.6729	-5.0243
JU2593	73834464.1506	-5.3407
JU2600	65100195.3737	-7.1607
JU2800	65899362.9791	-5.3455
JU2862	75608799.2416	-5.3357
JU2866	90019924.353	-6.2952
JU2878	80755414.6648	-6.2668
JU2879	61881146.3686	-7.0173
JU2906	89047663.5761	-5.1321
JU310	123675727.4122	-5.5461
JU311	82252969.5725	-6.0954
JU3125	100650966.6496	-7.9563
JU3127	78910532.2427	-5.5513
JU3134	77527278.8231	-5.9351
JU3135	77838577.4318	-4.7457
JU3137	101396939.8826	-5.6418
JU3140	83991557.3322	-5.1646
JU323	61512642.4757	-6.2779
JU346	68598572.8883	-6.0239
JU360	70917795.7088	-7.3006
JU367	82186558.251	-5.7264
JU393	86530340.891	-4.8164
JU394	78041345.6085	-5.2326
JU397	80833715.1618	-7.2982
JU406	80219152.4191	-6.8587
JU440	88296510.9308	-8.7668
JU561	84486386.6115	-4.6529
JU642	112713966.0125	-7.8731
JU751	90222930.4567	-5.3183
JU774	68162792.1804	-7.1871
JU775	67104284.0987	-6.0547
JU778	77015151.5601	-5.1813
JU782	74541109.1647	-6.1216
JU792	79659566.793	-5.0217
JU830	84266145.876	-3.7516
JU847	73774439.4263	-5.6444
KR314	68441866.0073	-6.0101
LKC34	71528068.7165	-5.0276
LSJ1	94324365.5582	-6.2465
MY1	82527757.0441	-6.3456
MY10	208583942.1097	-4.773
MY16	68383121.5794	-5.0674
MY18	140106449.0541	-6.9789
MY2212	90276690.1591	-5.9611
MY23	71263543.1115	-5.0582
MY2453	66826579.0592	-5.0996
MY2530	88325999.8153	-5.3587
MY2535	77314920.9894	-5.243
MY2573	86610512.4398	-6.1711
MY2693	97695361.3488	-4.9098
MY2741	83542531.9466	-4.4276
MY679	106610667.6079	-5.9524
MY920	95911149.4965	-6.2908
N2	47095921.0078	-7.2944
NIC1	66387056.4461	-5.0985
NIC1107	111229878.4252	-5.279
NIC166	67992450.1998	-5.4527
NIC195	49572886.5715	-7.2925
NIC199	68024818.4263	-7.3829
NIC2	62381081.3577	-6.0117
NIC207	67137962.168	-7.2592
NIC231	102389042.8369	-5.3741
NIC236	68795460.5563	-5.7624
NIC242	71487823.9732	-6.4477
NIC251	91244830.1498	-4.9942
NIC252	75882468.26	-6.5037
NIC255	85563475.3039	-4.8849
NIC256	62389591.4421	-5.539
NIC258	68839114.2186	-6.9484
NIC259	69842063.9967	-7.1975
NIC260	63396957.1003	-6.7013
NIC261	66136952.6163	-6.5285
NIC262	145318040.5477	-7.788
NIC265	75153544.6799	-5.3823
NIC266	68789137.2253	-7.2899
NIC267	82221460.2022	-5.0648
NIC268	65341537.0698	-5.3184
NIC269	75192597.1241	-8.1868
NIC271	68069759.5489	-5.8604
NIC272	81800848.8913	-4.0524
NIC274	80070558.1384	-6.6886
NIC275	88725699.1389	-5.6913
NIC276	91655312.9694	-4.7258
NIC277	60433819.6176	-6.4984
NIC3	72848251.1081	-7.0472
NIC513	91554983.8106	-5.639
NIC514	91382716.7923	-5.4294
NIC522	60804207.6594	-5.4194
NIC523	68640848.4755	-6.9555
PB303	77214162.6939	-4.8906
PS2025	174420852.9274	-8.9518
PX179	142231337.6882	-6.9554
QG2075	98870875.9312	-5.5461
QG536	57663695.0296	-4.6805
QG556	116773680.352	-6.67
QG557	74793826.2187	-8.2703
QW947	61539945.1363	-6.2463
QX1212	87073928.3748	-5.9874
QX1233	105017059.0094	-5.78
QX1791	83154600.0768	-7.7566
QX1792	92554623.54	-4.8134
QX1793	92102458.833	-4.8929
QX1794	64105177.1622	-6.0616
RC301	87570053.6718	-4.776
WN2001	75297065.6385	-4.8007
WN2002	73021625.7079	-5.5327
WN2033	70891952.8922	-5.4841
XZ1513	231271111.8452	-8.1902
XZ1514	175619869.8672	-7.7948
XZ1516	71925075.8224	-6.6385
