strains	param_a	param_b	param_c	param_d	param_e	param_f
JU2519	0.39044	-0.16502	0.28065	-0.025887	-0.0024624	0.05
JU2522	0.43605	-0.14484	0.25447	-0.03578	-0.0035013	0.05
JU2526	0.62038	-0.13739	0.19081	-0.018991	-0.0026642	0.056301
JU2534	0.41675	-0.1461	0.29121	-0.039377	-0.0038152	0.05
JU2565	0.34754	-0.15379	0.24158	-0.023351	-0.0041969	0.05
JU2566	0.66962	-0.13044	0.21383	-0.033818	-0.032697	0.05
JU2578	0.28694	-0.18836	0.19645	-0.032868	-0.0019979	0.05
JU258	0.5546	-0.17838	0.20268	-0.02741	-0.004384	0.050001
JU2587	0.29679	-0.19286	0.19857	-0.020123	-0.00091607	0.10771
JU2593	0.35438	-0.14642	0.26844	-0.026518	-0.0022809	0.05
JU2600	0.53559	-0.19996	0.22611	-0.041157	-0.0073921	0.05
JU2800	0.4491	-0.15584	0.15097	-0.031074	-0.0019539	0.051186
JU2862	0.67142	-0.13435	0.18339	-0.023665	-0.002175	0.11652
JU2866	0.52904	-0.1909	0.25675	-0.028512	-0.0021061	0.050021
JU2878	0.4425	-0.18166	0.27039	-0.041075	-0.0040088	0.05
JU2879	0.5612	-0.11445	0.15783	-0.09345	-0.0062002	0.058693
JU2906	0.63972	-0.13626	0.17111	-0.02497	-0.0018481	0.096341
JU310	0.41773	-0.16023	0.22591	-0.032742	-0.0029335	0.05
JU311	0.55265	-0.2	0.24017	-0.040293	-0.0030015	0.050001
JU3125	0.62829	-0.17983	0.21455	-0.05303	-0.021108	0.05
JU3127	0.56432	-0.11952	0.1163	-0.039209	-0.0042678	0.069076
JU3134	0.3998	-0.19999	0.18269	-0.042118	-0.0041749	0.050001
JU3135	0.31355	-0.15857	0.22978	-0.030842	-0.0026428	0.072636
JU3137	0.42251	-0.15013	0.27063	-0.022839	-0.0026225	0.050164
JU3140	0.42205	-0.15767	0.20726	-0.020614	-0.0017825	0.11516
JU323	0.43565	-0.15714	0.24728	-0.027703	-0.0032499	0.05
JU346	0.35069	-0.19919	0.29344	-0.030686	-0.002325	0.050015
JU360	0.63287	-0.1379	0.13443	-0.025364	-1.082e-05	0.05
JU367	0.37067	-0.1746	0.26631	-0.027638	-0.0021838	0.05
JU393	0.18029	-0.18295	0.27716	-0.023875	-0.0012523	0.050108
JU394	0.35128	-0.2	0.30424	-0.028417	-0.0031264	0.050002
JU397	0.7265	-0.1999	0.136	-0.022935	-0.002746	0.05
JU406	0.55045	-0.2	0.24456	-0.03313	-0.0062947	0.05
JU440	0.86954	-0.15082	0.15046	-0.022049	-8.9845e-08	0.05
JU561	0.37978	-0.2	0.22932	-0.039413	-0.0018878	0.05
JU642	0.41279	-0.2	0.16161	-0.049042	-0.0057242	0.05
JU751	0.3061	-0.17055	0.21673	-0.039704	-0.001309	0.05
JU774	0.57718	-0.19147	0.23003	-0.03988	-0.0069279	0.05
JU775	0.43312	-0.16171	0.23054	-0.02817	-0.0029285	0.050003
JU778	0.48082	-0.18013	0.27385	-0.025786	-0.0039662	0.064333
JU782	0.34113	-0.18445	0.28878	-0.026604	-0.0036926	0.05
JU792	0.46647	-0.16033	0.21368	-0.035733	-0.0048878	0.05
JU830	0.38406	-0.2	0.23363	-0.026477	-0.0015632	0.11179
JU847	0.43643	-0.14079	0.14607	-0.022559	-0.0040869	0.11243
KR314	0.23802	-0.19749	0.27631	-0.022302	-0.0023268	0.051291
LKC34	0.36895	-0.19593	0.27648	-0.028083	-0.0019789	0.073143
LSJ1	0.61163	-0.13913	0.20941	-0.033412	-0.0061824	0.050004
MY1	0.37392	-0.16125	0.30358	-0.025598	-0.002658	0.050143
MY10	0.46121	-0.13017	0.19941	-0.03216	-0.0031477	0.05
MY16	0.45681	-0.16557	0.22272	-0.029958	-0.0033052	0.050626
MY18	0.39238	-0.14354	0.24227	-0.026353	-0.0025289	0.05
MY2212	0.65579	-0.13104	0.13625	-0.040742	-0.0046505	0.05
MY23	0.67523	-0.1543	0.12648	-0.031049	-0.0021765	0.050001
MY2453	0.40648	-0.16647	0.27975	-0.02909	-0.0016836	0.05
MY2530	0.37314	-0.16713	0.23616	-0.026946	-0.0022333	0.10951
MY2535	0.52876	-0.16257	0.21327	-0.04188	-0.0052805	0.050003
MY2573	0.51567	-0.12643	0.2526	-0.039239	-0.0031435	0.05
MY2693	0.50503	-0.15323	0.25596	-0.034529	-0.0016797	0.05
MY2741	0.43536	-0.15432	0.21771	-0.020668	-0.0011097	0.066145
MY679	0.49951	-0.1329	0.18976	-0.028467	-0.0028604	0.079199
MY920	0.36916	-0.16275	0.27613	-0.038916	-0.0042462	0.05
N2	0.16718	-0.2	0.26618	-0.021328	-0.0027726	0.08633
NIC1	0.35748	-0.14648	0.24434	-0.029562	-0.003095	0.1376
NIC1107	0.27709	-0.15842	0.20806	-0.04841	-0.0028151	0.05
NIC166	0.54026	-0.15463	0.19397	-0.034241	-0.0023571	0.05
NIC195	0.51562	-0.16675	0.34723	-0.055149	-0.023105	0.05
NIC199	0.59781	-0.18937	0.20469	-0.03055	-0.0063687	0.05
NIC2	0.44653	-0.18303	0.29981	-0.040494	-0.0040616	0.05004
NIC207	0.49478	-0.17426	0.23948	-0.031133	-0.0053159	0.05
NIC231	0.2916	-0.12577	0.32418	-0.023962	-0.0021122	0.062602
NIC236	0.48169	-0.17679	0.22099	-0.026468	-0.002226	0.05
NIC242	0.47612	-0.2	0.30001	-0.028125	-0.0027523	0.05
NIC251	0.41276	-0.2	0.24346	-0.024502	-0.0017228	0.05
NIC252	0.63135	-0.17018	0.16561	-0.032315	-0.0055696	0.065435
NIC255	0.47561	-0.15148	0.26813	-0.024734	-0.0012691	0.050078
NIC256	0.39482	-0.14002	0.36123	-0.023534	-0.0027123	0.055961
NIC258	0.32594	-0.1098	0.28581	-0.024505	-0.0028516	0.089124
NIC259	0.48565	-0.14816	0.26205	-0.046551	-0.0091724	0.05
NIC260	0.4507	-0.18935	0.27016	-0.03248	-0.0041984	0.05
NIC261	0.5806	-0.19395	0.24899	-0.038268	-0.0044102	0.07706
NIC262	0.57021	-0.12227	0.12169	-0.057289	-0.018889	0.05
NIC265	0.25746	-0.19892	0.24881	-0.029458	-0.0048755	0.13163
NIC266	0.4476	-0.15385	0.25653	-0.030788	-0.014977	0.05
NIC267	0.36614	-0.17887	0.26616	-0.025113	-0.001482	0.079689
NIC268	0.542	-0.14039	0.16913	-0.03043	-0.0032412	0.089592
NIC269	0.6035	-0.1301	0.29143	-0.056675	-0.013451	0.05
NIC271	0.38274	-0.18943	0.32587	-0.027398	-0.0033174	0.050081
NIC272	0.26494	-0.17965	0.24023	-0.026956	-0.0019267	0.076948
NIC274	0.46792	-0.14639	0.21992	-0.031939	-0.0036909	0.05
NIC275	0.54017	-0.17584	0.17527	-0.03443	-0.0028049	0.062837
NIC276	0.46841	-0.16695	0.21723	-0.021545	-0.0013368	0.05
NIC277	0.4916	-0.18899	0.20668	-0.037183	-0.0023028	0.05
NIC3	0.39689	-0.2	0.22921	-0.037812	-0.0053164	0.072974
NIC513	0.53097	-0.14195	0.19367	-0.032078	-0.0020324	0.05
NIC514	0.63266	-0.16728	0.23545	-0.035767	-0.0071737	0.052788
NIC522	0.42468	-0.15517	0.27951	-0.025228	-0.0027403	0.065783
NIC523	0.42417	-0.2	0.32151	-0.026911	-0.0052699	0.05
PB303	0.3896	-0.18846	0.22558	-0.0275	-0.0015224	0.05
PS2025	0.77585	-0.15635	0.2119	-0.044916	-0.017437	0.05
PX179	0.40501	-0.15353	0.28057	-0.047524	-0.0028977	0.05
QG2075	0.35337	-0.17167	0.20513	-0.031811	-0.0019901	0.12234
QG536	0.52426	-0.11267	0.23956	-0.023884	-0.0020066	0.050055
QG556	0.74525	-0.1529	0.24508	-0.028489	-0.0019365	0.05
QG557	0.73006	-0.18013	0.18812	-0.023543	-0.022425	0.05
QW947	0.37562	-0.18189	0.36287	-0.029512	-0.0032894	0.10403
QX1212	0.38475	-0.12641	0.2445	-0.018983	-0.0017383	0.061671
QX1233	0.44422	-0.2	0.16646	-0.044294	-0.0044804	0.058377
QX1791	0.69371	-0.1983	0.20388	-0.032897	-0.0040611	0.05
QX1792	0.39956	-0.1114	0.19082	-0.022594	-0.0015039	0.081552
QX1793	0.53915	-0.11846	0.17267	-0.022435	-0.0016872	0.080809
QX1794	0.58206	-0.14759	0.17498	-0.022652	-0.0030385	0.05
RC301	0.40719	-0.1592	0.2484	-0.032424	-0.0016621	0.05
WN2001	0.48588	-0.14679	0.2364	-0.02501	-0.0011141	0.064596
WN2002	0.39801	-0.15234	0.21429	-0.038887	-0.0016944	0.05001
WN2033	0.37589	-0.19382	0.2733	-0.030587	-0.0024173	0.079687
XZ1513	0.57475	-0.12963	0.17043	-0.070492	-0.0015428	0.05
XZ1514	0.76287	-0.15045	0.076407	-0.031989	-0.0063738	0.050028
XZ1516	0.66222	-0.098342	0.14597	-0.096507	-0.018156	0.05
