strain	cluster	mw	sw	clusterNorm	mwNorm
ED3048	0.58534	0.53737	0.50513	1.1587	1.0639
ED3049	0.63084	0.6029	0.5448	1.1684	1.1293
ED3052	0.59392	0.70507	0.50082	1.1914	1.367
ED3073	0.61343	0.597	0.51315	1.1805	1.1629
ED3077	0.67705	0.6138	0.5103	1.3095	1.1828
EG4347	0.67716	0.65967	0.5172	1.2999	1.2907
EG4349	0.52771	0.53051	0.52702	1.0011	1.0064
EG4724	0.62165	0.67341	0.52224	1.183	1.2748
EG4725	0.54544	0.64009	0.49468	1.1054	1.2277
EG4946	0.68847	0.66513	0.5088	1.3345	1.3065
GXW1	0.68697	0.69033	0.53098	1.2938	1.3001
JT11398	0.6446	0.6039	0.4928	1.309	1.2263
JU1088	0.68499	0.61494	0.51193	1.3321	1.2088
JU1172	0.59841	0.51387	0.51496	1.1658	1.0022
JU1200	0.63708	0.62659	0.51969	1.2261	1.2021
JU1212	0.54162	0.5994	0.50167	1.0755	1.1903
JU1213	0.56085	0.5421	0.51513	1.0812	1.0422
JU1242	0.66257	0.6005	0.48546	1.3708	1.2306
JU1246	0.77126	0.5732	0.49176	1.5672	1.125
JU1395	0.68367	0.64911	0.52373	1.3054	1.239
JU1400	0.70781	0.53317	0.50928	1.3885	1.0276
JU1409	0.56559	0.53942	0.49123	1.1573	1.1042
JU1440	0.72104	0.64812	0.51719	1.3845	1.2503
JU1491	0.61173	0.60347	0.49327	1.2401	1.2128
JU1530	0.72021	0.65143	0.5232	1.3828	1.2859
JU1543	0.74872	0.6954	0.50491	1.4754	1.3563
JU1568	0.62904	0.65639	0.52638	1.1993	1.2516
JU1580	0.55392	0.5413	0.48258	1.1478	1.131
JU1581	0.523	0.46331	0.4762	1.1063	0.96518
JU1586	0.60688	0.60645	0.49626	1.2339	1.2368
JU1652	0.73317	0.70342	0.51939	1.4454	1.3759
JU1793	0.58484	0.5676	0.52649	1.1532	1.0781
JU1808	0.68936	0.66253	0.49929	1.3805	1.3352
JU1896	0.70146	0.6442	0.50962	1.3846	1.279
JU2001	0.69375	0.66438	0.52622	1.3902	1.2994
JU2007	0.65998	0.57504	0.51855	1.2651	1.0832
JU2131	0.72714	0.65541	0.51245	1.3896	1.2534
JU2141	0.59942	0.60778	0.53305	1.1439	1.1388
JU2234	0.65467	0.60989	0.47093	1.4047	1.3006
JU2464	0.7113	0.68839	0.50034	1.4226	1.3758
JU2466	0.72363	0.68923	0.50394	1.4163	1.3266
JU2513	0.60245	0.59101	0.52262	1.1741	1.173
JU2519	0.59453	0.599	0.5175	1.1764	1.1575
JU2522	0.50205	0.59972	0.50041	1.0127	1.2264
JU2526	0.50245	0.5625	0.50458	1.0107	1.0812
JU2534	0.62951	0.6227	0.48984	1.2819	1.2277
JU2565	0.75356	0.59596	0.50282	1.4976	1.23
JU2566	0.65831	0.64257	0.52215	1.2628	1.2306
JU2578	0.77114	0.74219	0.50832	1.517	1.4601
JU258	0.63669	0.56684	0.48662	1.2802	1.1393
JU2587	0.59255	0.6063	0.49639	1.1961	1.2133
JU2593	0.7214	0.65847	0.47331	1.5369	1.4028
JU2600	0.53227	0.53643	0.5145	1.019	1.0225
JU2800	0.69273	0.63643	0.49076	1.4381	1.2906
JU2862	0.75572	0.6954	0.48957	1.5871	1.4216
JU2866	0.58492	0.56701	0.50663	1.1614	1.1274
JU2878	0.6111	0.56304	0.50368	1.2186	1.1228
JU2879	0.52166	0.50896	0.48929	1.0725	1.0642
JU2906	0.76592	0.65481	0.49676	1.5346	1.3215
JU310	0.68223	0.61452	0.50473	1.3263	1.2078
JU311	0.59145	0.4841	0.48944	1.2381	1.0064
JU3125	0.59078	0.54885	0.50005	1.1745	1.0908
JU3127	0.69225	0.63848	0.50521	1.2382	1.2511
JU3134	0.71152	0.61821	0.51914	1.3493	1.2354
JU3135	0.67971	0.64537	0.5139	1.3287	1.247
JU3137	0.67586	0.62134	0.51876	1.2843	1.1807
JU3140	0.69795	0.61811	0.50643	1.3845	1.2115
JU323	0.65567	0.56962	0.51461	1.2741	1.095
JU346	0.55909	0.56094	0.53506	1.0521	1.0624
JU360	0.71584	0.54933	0.49089	1.4636	1.0953
JU367	0.70914	0.66002	0.5039	1.4233	1.3098
JU393	0.72286	0.6439	0.53291	1.3561	1.2058
JU394	0.65491	0.61145	0.5027	1.3002	1.2312
JU397	0.62424	0.54799	0.51511	1.2119	1.0548
JU406	0.49111	0.62529	0.51304	0.9452	1.2508
JU440	0.42309	0.48426	0.51325	0.83197	0.95248
JU561	0.67777	0.63924	0.47383	1.3239	1.2486
JU642	0.57782	0.55863	0.49442	1.1687	1.1299
JU751	0.73891	0.7443	0.48519	1.5263	1.5357
JU774	0.44349	0.55079	0.50233	0.87645	1.0604
JU775	0.62081	0.54912	0.53727	1.199	1.0588
JU778	0.64825	0.60539	0.47772	1.3568	1.2672
JU782	0.50879	0.59042	0.49743	1.0201	1.1855
JU792	0.71188	0.61996	0.48723	1.4631	1.2712
JU830	0.63752	0.58029	0.47024	1.3379	1.1735
JU847	0.70209	0.62332	0.50377	1.3775	1.233
KR314	0.71337	0.67396	0.5429	1.2971	1.2076
LKC34	0.64103	0.59776	0.50338	1.2563	1.1953
LSJ1	0.52536	0.51702	0.48363	1.0863	1.0683
MY1	0.56855	0.59479	0.51584	1.1321	1.1531
MY10	0.73986	0.65565	0.50862	1.4982	1.3101
MY16	0.59371	0.52735	0.5135	1.2076	1.0419
MY18	0.72292	0.70471	0.47627	1.4681	1.4922
MY2212	0.65156	0.61725	0.5213	1.2589	1.1796
MY23	0.54898	0.50133	0.49366	1.117	1.0064
MY2453	0.6584	0.60738	0.50674	1.2984	1.2135
MY2530	0.73182	0.66413	0.50288	1.427	1.3303
MY2535	0.66283	0.60087	0.48389	1.3698	1.2562
MY2573	0.68926	0.64532	0.51833	1.3177	1.2326
MY2693	0.68977	0.61723	0.52027	1.3975	1.2292
MY2741	0.74564	0.66534	0.50637	1.4674	1.3205
MY679	0.69974	0.62915	0.52826	1.3178	1.1927
MY920	0.59467	0.76563	0.48845	1.1778	1.6054
N2	0.35733	0.49724	0.49633	0.71489	0.98004
NIC1	0.69255	0.65338	0.51186	1.3642	1.2909
NIC1107	0.71162	0.67071	0.5115	1.3818	1.2855
NIC166	0.7644	0.74313	0.55816	1.5282	1.3338
NIC195	0.40416	0.464	0.50365	0.80775	0.91526
NIC199	0.59556	0.52278	0.48457	1.2293	1.0789
NIC2	0.66768	0.60198	0.50532	1.2886	1.1591
NIC207	0.65829	0.61755	0.50844	1.2947	1.2146
NIC231	0.64792	0.65262	0.50226	1.2866	1.2994
NIC236	0.67206	0.5901	0.50899	1.3204	1.1593
NIC242	0.63425	0.63485	0.51304	1.2207	1.2633
NIC251	0.69249	0.65798	0.49091	1.4131	1.3152
NIC252	0.51001	0.53563	0.47105	1.065	1.1242
NIC255	0.72629	0.61928	0.4975	1.4494	1.2345
NIC256	0.47042	0.56893	0.50938	0.94403	1.1155
NIC258	0.52086	0.53695	0.52332	0.9953	1.026
NIC259	0.53887	0.48376	0.49392	1.0521	0.94453
NIC260	0.52535	0.53813	0.50717	1.0546	1.0784
NIC261	0.61152	0.5282	0.50989	1.1716	1.0702
NIC262	0.49966	0.46031	0.48804	1.0238	0.94319
NIC265	0.68811	0.60171	0.50056	1.374	1.202
NIC266	0.53798	0.56793	0.51064	1.0525	1.1122
NIC267	0.63458	0.64435	0.48501	1.3308	1.302
NIC268	0.64031	0.56269	0.47611	1.345	1.1814
NIC269	0.64775	0.59538	0.51547	1.2379	1.1469
NIC271	0.58619	0.54286	0.48706	1.1857	1.076
NIC272	0.81118	0.60135	0.49657	1.6336	1.211
NIC274	0.60197	0.5658	0.49915	1.206	1.1482
NIC275	0.7185	0.64016	0.50905	1.4035	1.2576
NIC276	0.68759	0.639	0.50091	1.3475	1.2521
NIC277	0.56161	0.57653	0.50079	1.1258	1.1038
NIC3	0.60172	0.59529	0.51413	1.1453	1.2082
NIC513	0.65952	0.636	0.49097	1.369	1.3198
NIC514	0.67933	0.56812	0.49913	1.3625	1.1382
NIC522	0.63341	0.54098	0.50707	1.2312	1.0987
NIC523	0.60971	0.56414	0.4902	1.2438	1.1508
PB303	0.69788	0.61971	0.49876	1.3869	1.2583
PS2025	0.42477	0.47893	0.49829	0.84351	0.96115
PX179	0.63398	0.58631	0.52824	1.2066	1.0982
QG2075	0.6884	0.64713	0.50549	1.3536	1.2408
QG536	0.6906	0.57193	0.47179	1.4627	1.2125
QG556	0.68698	0.56668	0.49901	1.3867	1.1297
QG557	0.52483	0.51601	0.50029	1.0528	1.0314
QW947	0.55717	0.57344	0.4941	1.1258	1.1337
QX1212	0.68457	0.6777	0.51607	1.3269	1.307
QX1233	0.64751	0.71184	0.52568	1.2899	1.2881
QX1791	0.64278	0.59658	0.49699	1.2769	1.1851
QX1792	0.61823	0.60302	0.49713	1.255	1.2239
QX1793	0.70277	0.65933	0.49191	1.4151	1.3276
QX1794	0.61303	0.59409	0.50197	1.2273	1.1835
RC301	0.57945	0.5445	0.49642	1.1851	1.1136
WN2001	0.69175	0.59754	0.49497	1.409	1.2102
WN2002	0.65092	0.58394	0.50225	1.306	1.1625
WN2033	0.6557	0.57944	0.51344	1.2714	1.136
XZ1513	0.73789	0.63562	0.47785	1.5572	1.3411
XZ1514	0.72578	0.74916	0.50687	1.3843	1.4688
XZ1516	0.49842	0.48081	0.46012	1.0656	1.045
