strain	cluster	mw	sw	clusterNorm	mwNorm
JU1581	0.91913	0.96525	0.97565	0.9572	1.0052
JU1586	0.92181	0.96822	0.97889	0.95532	1.0026
JU1652	0.90916	0.97021	0.9811	0.938	1.0003
JU1793	0.94242	0.95992	0.97892	0.97767	0.99368
JU1808	0.88793	0.94953	0.97615	0.92388	0.98676
JU1896	0.92648	0.9641	0.98035	0.96045	0.99802
JU2001	0.87575	0.94727	0.98024	0.90645	0.98779
JU2007	0.9193	0.96405	0.98041	0.95194	0.99651
JU2131	0.89616	0.96531	0.98073	0.9297	0.99974
JU2141	0.94876	0.96727	0.97636	0.98663	1.0079
JU2234	0.93683	0.96048	0.97556	0.97968	1.0037
JU2464	0.90382	0.94426	0.9743	0.94697	0.98969
JU2466	0.91313	0.95781	0.97935	0.94781	0.99259
JU2513	0.94015	0.96665	0.97897	0.97204	1.0009
JU2519	0.94704	0.96634	0.97995	0.98052	1.0008
JU2522	0.93344	0.97084	0.98042	0.96944	1.0058
JU2526	0.96412	0.97479	0.97987	0.99633	1.006
JU2534	0.92676	0.96273	0.97752	0.96242	1.0027
JU2565	0.90266	0.96742	0.9798	0.93456	1.0016
JU2566	0.91275	0.96456	0.97724	0.94841	1.0023
JU2578	0.86157	0.92905	0.97754	0.89415	0.96418
JU258	0.93037	0.95706	0.9754	0.96692	0.99605
JU2587	0.92739	0.9654	0.98242	0.96188	1
JU2593	0.90381	0.96735	0.98167	0.93159	0.99708
JU2600	0.95468	0.97232	0.97956	0.98738	1.0037
JU2800	0.88976	0.96418	0.97321	0.93013	1.0053
JU2862	0.91337	0.95746	0.97668	0.9543	1.0002
JU2866	0.88788	0.95827	0.97627	0.92346	0.99665
JU2878	0.92394	0.96692	0.97728	0.95729	1.0052
JU2879	0.9494	0.96413	0.9769	0.98841	1.0022
JU2906	0.87739	0.95636	0.97813	0.91343	0.9932
JU310	0.92279	0.96414	0.98045	0.95803	0.99568
JU311	0.91744	0.96414	0.97704	0.9571	1.0005
JU3125	0.9288	0.97202	0.97763	0.96194	1.0059
JU3127	0.93313	0.96367	0.98023	0.96353	0.99524
JU3134	0.92665	0.97026	0.97998	0.95995	1.0051
JU3135	0.89764	0.96079	0.9824	0.92453	0.98957
JU3137	0.90289	0.95888	0.98106	0.93303	0.98836
JU3140	0.90253	0.9565	0.97844	0.93498	0.99051
JU323	0.92824	0.97245	0.98221	0.95464	1.0001
JU346	0.9424	0.96606	0.98061	0.9736	0.99739
JU360	0.90149	0.96484	0.97832	0.93121	0.99811
JU367	0.8717	0.95963	0.98019	0.89839	0.98783
JU393	0.92971	0.96588	0.98096	0.95879	0.9961
JU394	0.9146	0.96981	0.98214	0.94422	1.0002
JU397	0.92323	0.96162	0.97671	0.9584	0.99674
JU406	0.939	0.96958	0.98214	0.96745	1.0013
JU440	0.95341	0.97337	0.97949	0.98894	1.0075
JU561	0.90808	0.96089	0.97836	0.94363	0.99934
JU642	0.92242	0.95904	0.98073	0.95317	0.99164
JU751	0.89065	0.89631	0.98007	0.92791	0.93378
JU774	0.95662	0.96392	0.9773	0.99193	1.0014
JU775	0.92745	0.97352	0.98121	0.95694	1.0051
JU778	0.90631	0.94559	0.97642	0.94451	0.98535
JU782	0.95897	0.97457	0.98193	0.98985	1.006
JU792	0.8604	0.95945	0.97883	0.89054	0.99318
JU830	0.91071	0.97387	0.97774	0.94536	1.0103
JU847	0.89826	0.96759	0.98051	0.92837	0.99942
KR314	0.93188	0.97118	0.98307	0.96276	0.99943
LKC34	0.92724	0.97278	0.98116	0.95594	1.004
LSJ1	0.91635	0.95944	0.98166	0.94514	0.98957
MY1	0.9494	0.97221	0.98004	0.98114	1.0066
MY10	0.8715	0.96718	0.981	0.90027	1.0017
MY16	0.9249	0.97419	0.98386	0.94908	1.0012
MY18	0.90548	0.95647	0.97903	0.93712	0.98797
MY2212	0.90086	0.96779	0.98259	0.92637	0.99635
MY23	0.9229	0.96762	0.98195	0.94883	0.99646
MY2453	0.91968	0.96708	0.97996	0.95354	1.0027
MY2530	0.92098	0.96018	0.98062	0.95118	0.99247
MY2535	0.91868	0.96678	0.97714	0.95458	1.0041
MY2573	0.93761	0.97636	0.98167	0.96602	1.0063
MY2693	0.88688	0.9671	0.98011	0.91701	1.0012
MY2741	0.89535	0.95693	0.98147	0.92527	0.98744
MY679	0.90719	0.95666	0.98006	0.93537	0.98891
MY920	0.92278	0.96189	0.97926	0.95804	0.99883
N2	0.95487	0.97253	0.98313	0.99055	1.0089
NIC1	0.91879	0.95649	0.97909	0.9482	1.0004
NIC1107	0.89459	0.95933	0.98103	0.92293	0.99124
NIC166	0.82194	0.93524	0.97824	0.85057	0.9742
NIC195	0.96723	0.97398	0.97943	0.99984	1.0086
NIC199	0.93836	0.97015	0.97589	0.97477	1.0078
NIC2	0.91788	0.95728	0.98071	0.94696	0.98864
NIC207	0.93418	0.97744	0.98071	0.96418	1.0088
NIC231	0.92715	0.96518	0.97857	0.96469	1.0027
NIC236	0.91087	0.96114	0.97988	0.93887	0.9917
NIC242	0.95711	0.97373	0.98274	0.98963	1.0037
NIC251	0.90622	0.96582	0.97768	0.94437	1.0065
NIC252	0.94279	0.9645	0.97285	0.99283	1.0148
NIC255	0.9034	0.95795	0.97908	0.93502	0.99271
NIC256	0.94457	0.97221	0.98139	0.97715	1.0053
NIC258	0.96104	0.97305	0.98403	0.98809	1.0018
NIC259	0.96268	0.97004	0.97816	0.99522	1.0076
NIC260	0.92543	0.97206	0.98274	0.9511	0.99977
NIC261	0.93515	0.96809	0.97924	0.96833	1.0015
NIC262	0.79199	0.9772	0.98039	0.81995	1.0117
NIC265	0.92398	0.95198	0.97494	0.95605	0.99458
NIC266	0.95665	0.97527	0.98103	0.98688	1.0073
NIC267	0.90766	0.96238	0.97666	0.95066	0.9948
NIC268	0.91915	0.96475	0.97609	0.95635	1.0038
NIC269	0.93929	0.96728	0.97792	0.97482	1.0039
NIC271	0.95211	0.97014	0.98216	0.98102	0.9996
NIC272	0.81955	0.96911	0.98017	0.84719	1.0018
NIC274	0.94172	0.96356	0.97751	0.97716	0.99981
NIC275	0.91701	0.95886	0.976	0.95074	0.99875
NIC276	0.91092	0.96334	0.97964	0.9415	0.99484
NIC277	0.93337	0.96552	0.9798	0.96545	0.99931
NIC3	0.90838	0.96309	0.97947	0.95016	0.99538
NIC513	0.91744	0.95656	0.9745	0.95869	0.99722
NIC514	0.91372	0.9626	0.97673	0.94742	1.0001
NIC522	0.92767	0.97082	0.98269	0.9564	1.0007
NIC523	0.95746	0.96904	0.97852	0.99505	1.0071
PB303	0.91058	0.96198	0.97678	0.94337	0.99661
PS2025	0.9573	0.97081	0.97768	0.99304	1.0083
PX179	0.92857	0.93307	0.98023	0.96073	0.96314
QG2075	0.93478	0.96089	0.97876	0.97024	1.0002
QG536	0.91121	0.96311	0.97976	0.94444	0.99823
QG556	0.89334	0.96344	0.97608	0.93195	1.0126
QG557	0.96037	0.96857	0.97683	0.99996	1.0063
QW947	0.95305	0.97054	0.9799	0.98538	1.0037
QX1212	0.92617	0.97152	0.98107	0.95611	1.0027
QX1233	0.92269	0.94295	0.97985	0.95515	0.9854
QX1791	0.90307	0.96351	0.97518	0.93682	1.0011
QX1792	0.93526	0.96565	0.97938	0.96668	0.99811
QX1793	0.9455	0.96416	0.97878	0.98136	1.0007
QX1794	0.9371	0.96263	0.97674	0.97057	0.99922
RC301	0.90601	0.96315	0.98059	0.93647	0.99553
WN2001	0.91523	0.9634	0.98283	0.94175	0.99222
WN2002	0.89832	0.96162	0.98022	0.92764	0.99538
WN2033	0.9138	0.96666	0.98233	0.93956	0.99478
XZ1513	0.87789	0.96013	0.97523	0.91841	1.0041
XZ1514	0.86406	0.91041	0.95888	0.94095	0.98817
XZ1516	0.91688	0.96618	0.97349	0.96153	1.0128
