strain	cluster	mw	sw	clusterNorm	mwNorm
NIC266	0.26981	0.108	0.05115	5.1271	2.1114
NIC267	0.33435	0.19875	0.05175	6.4733	3.4991
NIC268	0.36255	0.12165	0.048775	7.3131	2.5357
NIC269	0.2441	0.095337	0.05095	4.804	1.8794
NIC271	0.26005	0.11525	0.055125	4.7847	2.1086
NIC272	0.34875	0.0901	0.04615	7.5569	1.9523
NIC274	0.22035	0.0945	0.0411	5.3613	2.2993
NIC275	0.2138	0.10745	0.03975	5.5969	2.144
NIC276	0.30193	0.13421	0.0539	6.0106	2.4806
NIC277	0.22335	0.124	0.0452	4.9799	2.7708
NIC3	0.2295	0.09395	0.0455	5.044	2.0498
NIC513	0.22178	0.11138	0.043325	5.3877	2.6444
NIC514	0.29225	0.1	0.04835	6.0445	2.0704
NIC522	0.2844	0.13132	0.052575	5.4127	2.4597
NIC523	0.2031	0.0979	0.0429	4.7728	2.2025
PB303	0.28035	0.12365	0.04485	5.7508	2.7417
PS2025	0.20494	0.0879	0.0446	4.6345	1.9709
PX179	0.22535	0.098875	0.0422	5.2899	2.3735
QG2075	0.18085	0.09415	0.0366	5.0921	2.8318
QG536	0.34742	0.1486	0.0545	6.3818	2.7204
QG556	0.32215	0.08995	0.04365	6.928	2.0301
QG557	0.2157	0.089275	0.04455	4.8147	1.981
QW947	0.2636	0.10265	0.04845	5.483	2.1266
QX1212	0.23549	0.14175	0.045225	5.2215	3.1148
QX1233	0.376	0.12387	0.049375	7.9857	2.2304
QX1791	0.2444	0.0871	0.04135	4.5339	2.076
QX1792	0.30017	0.16115	0.051675	5.7856	3.0258
QX1793	0.35865	0.17455	0.05865	5.8603	2.8521
QX1794	0.2148	0.10115	0.04615	4.827	2.2202
RC301	0.26645	0.17435	0.04765	6.1112	3.0322
WN2001	0.3592	0.17319	0.056925	6.2007	3.0298
WN2002	0.27456	0.10245	0.047425	5.802	2.1717
WN2033	0.27565	0.13725	0.05075	5.4391	2.8534
XZ1513	0.29	0.1133	0.05305	5.5309	2.0787
XZ1514	0.2091	0.04085	0.03905	5.1439	1.0874
XZ1516	2.5915e-05	1.1185e-05	5.575e-06	4.6484	2.0063
